name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
VPC Supplies,IndEvo_vpc_supplies,IndEvo_VPC_common,,2,30000,1000,1,,graphics/icons/cargo/VPC_supplies.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Standard supplies were slightly more extravagant back in the day. These come pre-packed with artificial ice cream!",96
VPC Exo-Armor Suits,IndEvo_vpc_marines,IndEvo_VPC_uncommon,,,50000,1000,1,,graphics/icons/cargo/VPC_marines.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Pseudo-AI assisted Exo-Armor Suits. After all, military training can only do so much.",96
VPC Heavy Machinery,IndEvo_vpc_heavy_machinery,IndEvo_VPC_common,,,30000,1000,1,,graphics/icons/cargo/VPC_machinery.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Machines will always be just that, and with a bit of hotwiring the ones on this chip are perfectly fine for export.",96
VPC Domestic Goods,IndEvo_vpc_domestic_goods,IndEvo_VPC_common,,,30000,1000,1,,graphics/icons/cargo/VPC_domgoo.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Domestic goods unlike any other of todays' Persean Sector. Some of these have unknown functions, but might still make for high quality paper weights.",96
VPC Recreational Drugs,IndEvo_vpc_drugs,IndEvo_VPC_uncommon,,,50000,1000,1,,graphics/icons/cargo/VPC_drugs.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Nothing current can quite compare to the chemistry of past minds - literally.",96
VPC Heavy Armaments,IndEvo_vpc_hand_weapons,IndEvo_VPC_uncommon,,,50000,1000,1,,graphics/icons/cargo/VPC_heavwea.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Praise be unto Ludd for technological regression, without which, these guns would be worthless.",96
VPC Ship Components,IndEvo_vpc_IndEvo_parts,IndEvo_VPC_uncommon,,,50000,1000,1,,graphics/icons/cargo/VPC_parts.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
The only source of new components in the degraded sector. The chip went from common, to worth tens of thousands of credits due to this.",96
VPC Luxury Goods,IndEvo_vpc_luxury_goods,IndEvo_VPC_common,,,30000,1000,1,,graphics/icons/cargo/VPC_luxgoo.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Only Tri-Tachyon could ever serialize nonserialized products.",96
VPC Conflict Package,IndEvo_vpc_marines_hand_weapons,IndEvo_VPC_rare,,,100000,1000,1,,graphics/icons/cargo/VPC_war.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"A surviving example of Tri-Tachyons' premium industrial software for commodity production.
War is always the same - and this is what you need to win it.",97
VPC Exploration Package,IndEvo_vpc_supply_fuel,IndEvo_VPC_rare,,,100000,1000,1,,graphics/icons/cargo/VPC_exp.png,ui_chip_pickup,ui_corrupted_nano_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_VPCItemPlugin,,"A surviving example of Tri-Tachyons' premium industrial software for commodity production.
Explore without fear of coming home to empty stores!",97
,,,,,,,,,,,,,,,
Base Ambassador Item,IndEvo_amb,IndEvo_amb,,,1000,1,1,,graphics/icons/cargo/space_suit.png,ui_cargo_crew,ui_cargo_crew_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_AmbassadorItemPlugin,,,800
,,,,,,,,,,,,,,,
Forge Template,IndEvo_ForgeTemplate_1,,,,50000,1,1,,graphics/icons/cargo/forge_template_shiphulll.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_ForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",95
Forge Template,IndEvo_ForgeTemplate_2,,,,50000,1,1,,graphics/icons/cargo/forge_template_shiphulll.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_ForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",95
Forge Template,IndEvo_ForgeTemplate_3,,,,50000,1,1,,graphics/icons/cargo/forge_template_shiphulll.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_ForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",95
Forge Template,IndEvo_ForgeTemplate_4,,,,50000,1,1,,graphics/icons/cargo/forge_template_shiphulll.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_ForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",95
Forge Template,IndEvo_ForgeTemplate_5,,,,50000,1,1,,graphics/icons/cargo/forge_template_shiphulll.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_ForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",95
Degraded Forge Template,IndEvo_DegForgeTemplate,IndEvo_FT,,,50000,1000,1,,graphics/icons/cargo/forge_template_broken.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_EmptyForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",94
Empty Forge Template,IndEvo_EmptForgeTemplate,IndEvo_FT,,0.5,100000,1000,1,,graphics/icons/cargo/forge_template_empty.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndEvo_EmptyForgeTemplateItemPlugin,,"This experimental piece of tech looks a lot like a blueprint, but doesn't seem to work like one.",93
,,,,,,,,,,,,,,,
Logistics Core,IndEvo_log_core,"hist3t, pather4, ai_core",Domain Restricted,,50000,1000,1,EXTREME,graphics/icons/cargo/Logisrics_AI_core.png,ai_core_pickup,ui_alpha_core_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,IndEvo_AdInfra,"An ancient, extremely specialized, barely sentient AI. While the development of artificial intelligence trends towards the goal of general allrounders, this is the polar opposite. It can not properly hold a conversation, can not pilot a ship - but no alpha core will ever be able to handle logistics, manufacturing and predictive economics with the same accuracy and efficiency. 

Cores like this used to be called ""Paperclip Maximizers"" and were outlawed early in the Domains history.
Avoid assigning it to a function other than managing logistics at all costs.",151
Neuroconditioning Compounds,IndEvo_neurals,"hist3t, pather4",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/Neuroconditioning_compounds.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,IndEvo_senate,"The existence of neurosuggestive chemicals allowing for gradual or acute brainwashing has historically been denied by Domain officials. However, Exodyne Biotech was suspiciously fast in providing tailored solutions to planetary unrest and dissident reeducation after the collapse, before quickly falling victim to their own methods.",152
Relay Hypertransmitter,IndEvo_transmitter,"hist3t, pather4",Tri-Tachyon,,100000,1000,1,HIGH,graphics/icons/cargo/Relay_hypertransmitter.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"IndEvo_IntArray, militarybase, highcommand","A very sensitive, proprietary piece of technology enabling interstellar communication. This is the centerpiece of any Domain-Era relay, technology now controlled tightly by Tri-Tachyon and not accessible to anyone without good relations and deep pockets.",156
Simulation Engine,IndEvo_simulator,"hist3t, pather8",Nvidia Corporation,,220000,1000,1,EXTREME,graphics/icons/cargo/Simulation_Engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,IndEvo_SupCom,"The Nvidia GTX 470080 TI is able to run UniversalTracing(TM) concurrently with the last-gen MolecularSim(TM) to ensure the most realistic modelling of mammary glands ever seen in the galaxy. 

Extremely rare in the sector due to production shortages and bulk purchases by shady server farms in the fringe worlds, it can simulate an entire universe when provided with enough processing power.",159
,,,,,,,,,,,,,,,
Nanoanalytic Array,IndEvo_analyser,pather4,Tri-Tachyon,,100000,1000,1,EXTREME,graphics/icons/cargo/Nanoanalytic_Array.png,ui_cargo_special_military_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,"INACTIVE (Used to be for EngHub, blueprint Item Impl incompatible with new SpecItem) This room-sized machine can disassemble components on a molecular scale and translate their structure into a three dimensional simulation for easier understanding. Despite the integrated AI it is still unable to accurately interpret the use of a part and is not always fully accurate, sometimes melding components of similar make together.",153
Neural Interfaces,IndEvo_interface,pather4,Exodyne Biotech,,180000,1000,1,EXTREME,graphics/icons/cargo/Neural_Interface.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,"Initially conceptualized as virtual entertainment suite by Mbaye-Gogol, the patent was quickly bought by Exodyne for unknown reasons. It later became apparent that, with very little modification, the suite was able to overwrite neural pathways, allowing for direct knowledge insertion, memory edits, or full personality transfers.",154
Restoration Nanites,IndEvo_nanites,pather4,Ko Combine,,80000,1000,1,EXTREME,graphics/icons/cargo/Restoration_Nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,"Experimental, bleeding edge nanite tech forming a low level intelligence to analyze a given part for potential failures or deviations from an approximated ideal state, then reconfiguring themselves to fix the target. They are not infallible, often fixing parts that were not broken - but they are still leaps and bounds beyond anything currently found in the sector.",157
Salvage Drone Replicator,IndEvo_drones,pather8,Ko Combine,,150000,1000,1,EXTREME,graphics/icons/cargo/Salvage_drone_replicatior.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,"The proprietary replicator core of a salvage drone factory, able to build itself out to industrial scale when placed among wreckage. The drones adjust themselves to current tasks, getting reclaimed and rebuilt constantly - it can even build hyperspace capable drone carriers. 

There is no control interface, and while it seems to have the ability to disassemble as well as gather salvage, it only does the latter, with no obvious way to change the mode.

The uncanny ability to adapt to any situation would be alarming if it wasn't so very useful.",158
,,,,,,,,,,,,,,,
#AI-Core dummies for Tooltips,,,,,,,,,,,,,,,
Alpha Core,IndEvo_alpha_core,,,,0,0,1,,graphics/icons/cargo/ai_core_alpha.png,ai_core_pickup,ui_alpha_core_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,dummy item for tooltip,1
Beta Core,IndEvo_beta_core,,,,0,0,1,,graphics/icons/cargo/ai_core_beta.png,ai_core_pickup,ui_beta_core_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,dummy item for tooltip,1
Gamma Core,IndEvo_gamma_core,,,,0,0,1,,graphics/icons/cargo/ai_core_gamma.png,ai_core_pickup,ui_gamma_core_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,,dummy item for tooltip,1